Elo	Username	W	L	T	Last update
1045	No.1 Explorer	1	0	0	Thu Apr 19 2018 09:51:52 GMT+0000 (UTC)
1000	Dark Explorer	0	1	0	Thu Apr 19 2018 09:51:52 GMT+0000 (UTC)
